date,open,high,low,close,volume,Name
2016-11-14,55.59,56.14,55.26,56.08,1344899,FBHS
2017-11-07,88.08,89.43,87.61,89.36,2315029,DUK
2017-05-30,28.6,28.73,28.48,28.51,1226646,DRE
2017-01-12,76.97,77.61,76.7689,77.54,2476286,DUK
2014-07-07,40.7255,40.902,40.0784,40.2353,2580061,LEN
2017-07-28,93.0,94.17,92.38,93.97,869223,ABC
2014-08-06,38.75,39.51,38.69,39.33,4988210,BK
2013-07-03,22.85,22.98,22.76,22.91,21450528,GE
2017-06-15,49.14,-,48.37,49.11,4579626,AAL
2015-08-24,13.1,13.4,12.77,12.94,23879591,KEY
2015-12-08,43.015,43.995,42.855,43.615,5901718,UAA
2014-12-12,29.21,29.47,28.73,28.75,7079087,SCHW
2014-01-09,37.9314,38.1667,37.1667,37.6667,2996370,LEN
2016-03-15,333.13,334.3297,330.39,334.13,627305,BLK
2013-07-15,15.25,15.3838,15.1675,15.215,2422372,UAA
2015-10-29,29.17,29.38,29.06,29.34,42373942,GE
2016-09-15,38.18,38.635,37.7193,38.56,3700486,UAA
2014-10-08,63.67,64.36,63.04,64.22,1510877,DISH
2013-09-10,65.7,65.96,65.273,65.95,1772870,DUK
2016-03-01,69.25,70.6,68.57,70.45,4472145,OXY
2017-07-20,27.94,28.06,27.73,27.73,6199767,BSX
2016-03-02,46.7,46.9,46.02,46.5,3294157,FAST
2013-10-04,73.33,73.815,72.99,73.26,2241257,ACN
2016-12-22,390.26,390.26,385.3322,387.12,863153,BLK
2014-07-17,37.98,38.24,37.86,38.0,5608460,BK
2013-12-27,58.17,58.35,58.06,58.14,8944562,JPM
2017-10-12,80.37,81.2984,80.37,80.8,1195264,ABC
2014-04-11,14.58,14.69,14.47,14.61,3295809,PBCT
2017-02-13,91.53,94.5,89.42,90.48,3038167,ABC
2014-01-31,31.77,32.23,31.66,31.96,5236328,BK
2015-02-19,87.61,87.83,86.86,87.73,1568519,ADP
2014-11-07,108.75,109.32,108.55,109.01,33691535,AAPL
2014-02-14,75.75,76.4899,75.3,76.27,1710591,ADP
2016-09-15,154.3,156.33,153.21,155.66,3662573,IBM
2013-05-06,18.09,18.23,17.97,18.23,2198414,DRE
2014-01-21,15.01,15.17,14.97,15.05,2479422,DRE
2016-07-13,86.42,86.95,84.98,85.54,831095,HAS
2014-01-28,47.46,48.33,47.46,48.07,425020,REG
2016-02-12,129.64,130.55,127.68,130.18,1722094,GD
2013-10-14,24.21,24.38,24.16,24.38,22023311,GE
2015-03-16,14.58,14.63,14.42,14.59,8385696,KEY
2013-04-16,41.67,42.53,41.13,42.45,6999109,ABBV
2013-11-11,33.2,33.33,32.99,33.08,2960504,BK
2015-04-08,40.635,41.4,40.57,41.36,4192288,UAA
2015-08-12,104.19,105.84,102.45,104.38,1905030,ABC
2016-10-31,88.26,88.425,87.52,87.79,1325542,DPS
2017-04-06,143.75,144.6525,142.36,142.56,765329,AAP
2015-12-10,94.46,96.82,92.86,95.63,1618282,VMC
2016-11-10,157.66,161.16,157.59,160.22,7715807,IBM
2016-09-20,113.05,114.12,112.51,113.57,34514269,AAPL
2015-07-13,63.0,63.7,63.0,63.43,11426615,QCOM
2016-06-28,97.35,98.575,95.7,96.64,2374050,TAP
2017-08-30,17.3,17.41,17.22,17.28,6742602,KEY
2016-08-04,44.8725,45.1471,44.3725,44.9118,2834257,LEN
2013-11-22,47.29,47.6,47.05,47.36,1207370,FAST
2016-07-05,94.55,95.61,94.15,94.73,2314559,ADBE
2017-01-13,48.14,48.19,47.82,48.05,2315336,FAST
2015-08-21,62.21,62.74,60.94,60.95,2671422,DISH
2013-10-04,215.81,218.275,213.11,217.86,426283,ADS
2015-10-05,27.91,28.4,27.7901,28.37,8283589,SCHW
2017-09-19,52.15,52.24,51.37,51.41,3790880,ABT
2016-02-08,92.56,92.96,89.51,92.12,13750142,DIS
2015-03-03,89.55,89.99,88.33,88.7,3012171,ADP
2015-06-25,16.29,16.41,16.25,16.39,2893773,PBCT
2014-07-03,93.67,94.1,93.2,94.03,22891753,AAPL
2013-10-28,22.24,22.63,21.88,22.01,4642800,AAL
2017-04-11,66.72,67.53,66.69,67.21,867652,REG
2014-10-09,33.725,33.945,32.555,32.685,5995536,UAA
2015-03-13,105.26,106.38,105.12,106.15,1746949,ABC
2016-10-03,12.11,12.22,12.055,12.15,11002194,KEY
2015-01-12,84.04,84.6,82.73,82.81,1353148,CAH
2013-07-24,12.35,12.44,12.255,12.37,10783284,KEY
2014-11-18,44.6667,45.1274,44.6274,44.7941,1960101,LEN
2013-06-20,20.2,20.95,20.16,20.48,20960584,SCHW
2014-11-28,35.96,36.49,35.95,36.245,2386642,UAA
